업태명	소재지지번	소재지전화번호	영업일	소재지도로명	메뉴	시군구코드	업소명
감성주점	서울특별시 강남구 신사동 514번지	02 517 5140	"월-금,토"	서울특별시 강남구 강남대로152길 18 지상2층 (신사동)	사시미 모듬	11680	신사마차
			오후 5시 - 오전 2시		"45,000원"		
			휴무일		야끼돈부리		
			매주 일요일		"10,000원"		
					신사 특초밥		
					"15,000원"		
감성주점	서울특별시 강남구 역삼동 819번지 6호		영업시간 정보가 없습니다.	서울특별시 강남구 강남대로92길 19 지상2층 (역삼동)	메뉴 정보가 없습니다.	11680	부즈인북스
감성주점	서울특별시 강남구 논현동 191번지 16호		영업시간 정보가 없습니다.	서울특별시 강남구 논현로 613 2층 201호 (논현동)	메뉴 정보가 없습니다.	11680	혼술바
감성주점	서울특별시 강남구 논현동 191번지 16호		영업시간 정보가 없습니다.	서울특별시 강남구 논현로 613 2층 201호 (논현동)	메뉴 정보가 없습니다.	11680	언주혼
감성주점	서울특별시 강남구 논현동 170번지 스페이스모노빌딩		월-금	서울특별시 강남구 논현로115길 71 스페이스모노빌딩 지하1층 (논현동)	나가사끼 짬뽕	11680	마술사 포차
			오후 3시 - 오전 6시 (// 주방마감 새벽5시)		"14,900원"		
			토/일		얼큰한 목살짬뽕		
			오후 3시 - 오전 7시 (// 주방마감 새벽6시)		"14,900원"		
					홍합탕		
					"12,900원"		
감성주점	서울특별시 강남구 역삼동 790번지 10호 청연빌딩		월-금	서울특별시 강남구 논현로71길 6 청연빌딩 지상1층 (역삼동)	"에스프레소, 아메리카노"	11680	릿커피앤비어(LIT COFFEE&BEER)
			오전 11시 - 오후 11시		"3,500원"		
					"카페라떼, 카푸치노"		
					"4,000원"		
					"카페모카, 캬라멜 마끼야또"		
					"4,500원"		
감성주점	서울특별시 강남구 역삼동 790번지 10호 청연빌딩		"월-금,일"	서울특별시 강남구 논현로71길 6 청연빌딩 지상1층 (역삼동)	와인한잔	11680	윤앤서와인다이닝바
			오후 5시 - 오전 1시		"4,500원"		
			금요일		와인한병		
			오후 5시 - 오전 3시		"19,000원"		
감성주점	서울특별시 강남구 역삼동 790번지 10호 청연빌딩		영업시간 정보가 없습니다.	서울특별시 강남구 논현로71길 6 청연빌딩 지상1층 (역삼동)	메뉴 정보가 없습니다.	11680	와인트리
감성주점	서울특별시 강남구 역삼동 828번지 22호		영업시간 정보가 없습니다.	서울특별시 강남구 논현로85길 59 지하1층 (역삼동)	메뉴 정보가 없습니다.	11680	바 베뉴(BAR VENUE)
감성주점	서울특별시 강남구 역삼동 837번지 19호 르-메이에르 타운		매일	서울특별시 강남구 도곡로3길 13 르-메이에르 타운 지상2층 203-2(일부)호 (역삼동)	온더락차지	11680	라이온 프라이드
			오전 11시 - 자정 12시		"10,000원"		
			토/일		항정살스테이크		
			오후 3시 - 자정 12시		"39,000원"		
					엔초비파스타		
					"22,000원"		
감성주점	서울특별시 강남구 신사동 561번지 30호 춘곡빌딩		"월-금,토"	서울특별시 강남구 도산대로 159 지하2층 (신사동)	참치(골드~VIP스페셜)	11680	도깨비
			오후 5시 - 오전 1시		35000~100000		
			휴무일		활어 스페셜코스1인		
			매주 일요일		"50,000원"		
					고등어 스페셜1인		
					"50,000원"		
감성주점	서울특별시 강남구 신사동 587번지 12호 지하1층	02 511 9131	영업시간 정보가 없습니다.	서울특별시 강남구 도산대로 215 지하1층 (신사동)	메뉴 정보가 없습니다.	11680	메이플
감성주점	서울특별시 강남구 신사동 587번지 12호 지하1층	02 511 9131	영업시간 정보가 없습니다.	서울특별시 강남구 도산대로 215 지하1층 (신사동)	메뉴 정보가 없습니다.	11680	테라
감성주점	서울특별시 강남구 신사동 541번지 13호		"화,수,목,금"	서울특별시 강남구 도산대로15길 9 지하1층 (신사동)	에그베네딕트	11680	어썸라운지
			오전 11시 - 오후 9시 (음식 last order 20:00)		"14,500원"		
			토요일		파니니		
			오전 11시 - 오후 9시 (음식 last order 20::00)		"12,500원"		
					오픈샌드위치		
					"20,000원"		
감성주점	서울특별시 강남구 신사동 539번지 7호		매일	서울특별시 강남구 도산대로17길 3 지하1층 (신사동)	버터맥주	11680	내고향내마음고성
			오후 6시 - 오전 3시 (연중휴무)		"9,000원"		
					샹그리아		
					"6,000원"		
					리코타치즈 막걸리 (500ml)		
					"8,000원"		
감성주점	서울특별시 강남구 신사동 628번지 41호		영업시간 정보가 없습니다.	서울특별시 강남구 도산대로37길 12 지상2층 (신사동)	메뉴 정보가 없습니다.	11680	지알브이(GRV)
감성주점	서울특별시 강남구 신사동 657번지 26호		영업시간 정보가 없습니다.	서울특별시 강남구 도산대로51길 37 지하1층 2호 (신사동)	메뉴 정보가 없습니다.	11680	거북썬
감성주점	서울특별시 강남구 청담동 22번지 14호		월-금	서울특별시 강남구 도산대로58길 18 지하1층 (청담동)	BLANC DE BLANC 블랑 드 블랑	11680	믹솔로지
			오후 8시 - 오전 2시		"22,000원"		
			"금,토"		HERB GIMLET 허브김렛		
			오후 8시 - 오전 3시		"20,000원"		
					FLORENCE ROYAL 플로렌스 로얄		
					"20,000원"		
감성주점	서울특별시 강남구 청담동 122번지 30호	02 34488897	영업시간 정보가 없습니다.	서울특별시 강남구 도산대로87길 11 지하1층 (청담동)	메뉴 정보가 없습니다.	11680	싸우나뮤직바
감성주점	서울특별시 강남구 역삼동 603번지 5호		영업시간 정보가 없습니다.	서울특별시 강남구 봉은사로 138 지하1지상1층 (역삼동)	메뉴 정보가 없습니다.	11680	골드문
감성주점	서울특별시 강남구 역삼동 603번지 5호		영업시간 정보가 없습니다.	서울특별시 강남구 봉은사로 138 지하1지상1층 (역삼동)	메뉴 정보가 없습니다.	11680	골드플레이스
감성주점	서울특별시 강남구 논현동 277번지 2호	0-2525-3172	영업시간 정보가 없습니다.	서울특별시 강남구 봉은사로43길 6-3 1층 (논현동)	메뉴 정보가 없습니다.	11680	독고다이
감성주점	서울특별시 강남구 삼성동 151번지 29호 이호빌딩	02 556 1241	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로104길 10 이호빌딩 지하1층 (삼성동)	메뉴 정보가 없습니다.	11680	이십오
감성주점	서울특별시 강남구 삼성동 155번지 10호 지상23층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로96길 9 (삼성동지상23층)	메뉴 정보가 없습니다.	11680	헬렌스키친
감성주점	서울특별시 강남구 청담동 85번지 18호 엠디가슴성형센터빌딩		매일	서울특별시 강남구 선릉로 814 엠디가슴성형센터빌딩 지하1층 (청담동)	PIZZA	11680	로컬 Local
			오전 11시 - 오후 10시 (매주월요일휴무)		PASTA		
					RISOTTO		
감성주점	서울특별시 강남구 청담동 19번지 36호		영업시간 정보가 없습니다.	서울특별시 강남구 선릉로148길 52-10 지하1층 (청담동)	메뉴 정보가 없습니다.	11680	지메이트
감성주점	서울특별시 강남구 청담동 88번지 10호		월-금	서울특별시 강남구 선릉로152길 15 지하2층 (청담동)	등갈비김치찜 1인(2인이상가능)	11680	라운지 빅토리아
			오전 11시 30분 - 오후 2시 30분		"11,000원"		
			월-금		매운등갈비찜 1인(2인이상가능)		
			오후 5시 30분 - 자정 12시		"11,000원"		
					등갈비전골 中/大		
					"25,000원"		
감성주점	서울특별시 강남구 신사동 657번지 16호		영업시간 정보가 없습니다.	서울특별시 강남구 선릉로155길 28 지하1층 102호 (신사동)	메뉴 정보가 없습니다.	11680	홀리데이서울
