시군구코드,업소명,소재지도로명,소재지지번,소재지전화번호,업태명,메뉴,영업일
11680,신사마차,서울특별시 강남구 강남대로152길 18 지상2층 (신사동),서울특별시 강남구 신사동  514번지  ,02  517 5140  ,감성주점,,
11680,부즈인북스,서울특별시 강남구 강남대로92길 19 지상2층 (역삼동),서울특별시 강남구 역삼동  819번지 6호  ,,감성주점,,
11680,혼술바,서울특별시 강남구 논현로 613 2층 201호 (논현동),서울특별시 강남구 논현동  191번지 16호  ,,감성주점,,
11680,언주혼,서울특별시 강남구 논현로 613 2층 201호 (논현동),서울특별시 강남구 논현동  191번지 16호  ,,감성주점,,
11680,마술사 포차,서울특별시 강남구 논현로115길 71 스페이스모노빌딩 지하1층 (논현동),서울특별시 강남구 논현동  170번지  스페이스모노빌딩,,감성주점,,
11680,릿커피앤비어(LIT COFFEE&BEER),서울특별시 강남구 논현로71길 6 청연빌딩 지상1층 (역삼동),서울특별시 강남구 역삼동  790번지 10호  청연빌딩,,감성주점,,
11680,윤앤서와인다이닝바,서울특별시 강남구 논현로71길 6 청연빌딩 지상1층 (역삼동),서울특별시 강남구 역삼동  790번지 10호  청연빌딩,,감성주점,,
11680,와인트리,서울특별시 강남구 논현로71길 6 청연빌딩 지상1층 (역삼동),서울특별시 강남구 역삼동  790번지 10호  청연빌딩,,감성주점,,
11680,바 베뉴(BAR VENUE),서울특별시 강남구 논현로85길 59 지하1층 (역삼동),서울특별시 강남구 역삼동  828번지 22호  ,,감성주점,,
11680,라이온 프라이드,서울특별시 강남구 도곡로3길 13 르-메이에르 타운 지상2층 203-2(일부)호 (역삼동),서울특별시 강남구 역삼동  837번지 19호  르-메이에르 타운,,감성주점,,
11680,도깨비,서울특별시 강남구 도산대로 159 지하2층 (신사동),서울특별시 강남구 신사동  561번지 30호  춘곡빌딩,,감성주점,,
11680,메이플,서울특별시 강남구 도산대로 215 지하1층 (신사동),서울특별시 강남구 신사동  587번지 12호  지하1층,02  511 9131  ,감성주점,,
11680,테라,서울특별시 강남구 도산대로 215 지하1층 (신사동),서울특별시 강남구 신사동  587번지 12호  지하1층,02  511 9131  ,감성주점,,
11680,어썸라운지,서울특별시 강남구 도산대로15길 9 지하1층 (신사동),서울특별시 강남구 신사동  541번지 13호  ,,감성주점,,
11680,내고향내마음고성,서울특별시 강남구 도산대로17길 3 지하1층 (신사동),서울특별시 강남구 신사동  539번지 7호  ,,감성주점,,
11680,지알브이(GRV),서울특별시 강남구 도산대로37길 12 지상2층 (신사동),서울특별시 강남구 신사동  628번지 41호  ,,감성주점,,
11680,거북썬,서울특별시 강남구 도산대로51길 37 지하1층 2호 (신사동),서울특별시 강남구 신사동  657번지 26호  ,,감성주점,,
11680,믹솔로지,서울특별시 강남구 도산대로58길 18 지하1층 (청담동),서울특별시 강남구 청담동  22번지 14호  ,,감성주점,,
11680,싸우나뮤직바,서울특별시 강남구 도산대로87길 11 지하1층 (청담동),서울특별시 강남구 청담동  122번지 30호  ,02  34488897  ,감성주점,,
11680,골드문,서울특별시 강남구 봉은사로 138 지하1지상1층 (역삼동),서울특별시 강남구 역삼동  603번지 5호  ,,감성주점,,
11680,골드플레이스,서울특별시 강남구 봉은사로 138 지하1지상1층 (역삼동),서울특별시 강남구 역삼동  603번지 5호  ,,감성주점,,
11680,독고다이,서울특별시 강남구 봉은사로43길 6-3 1층 (논현동),서울특별시 강남구 논현동  277번지 2호  ,0-2525-3172,감성주점,,
11680,이십오,서울특별시 강남구 삼성로104길 10 이호빌딩 지하1층 (삼성동),서울특별시 강남구 삼성동  151번지 29호  이호빌딩,02  556 1241  ,감성주점,,
11680,헬렌스키친,서울특별시 강남구 삼성로96길 9 (삼성동지상23층),서울특별시 강남구 삼성동  155번지 10호  지상23층,,감성주점,,
11680,로컬 Local,서울특별시 강남구 선릉로 814 엠디가슴성형센터빌딩 지하1층 (청담동),서울특별시 강남구 청담동  85번지 18호  엠디가슴성형센터빌딩,,감성주점,,
11680,지메이트,서울특별시 강남구 선릉로148길 52-10 지하1층 (청담동),서울특별시 강남구 청담동  19번지 36호  ,,감성주점,,
11680,라운지 빅토리아,서울특별시 강남구 선릉로152길 15 지하2층 (청담동),서울특별시 강남구 청담동  88번지 10호  ,,감성주점,,
11680,홀리데이서울,서울특별시 강남구 선릉로155길 28 지하1층 102호 (신사동),서울특별시 강남구 신사동  657번지 16호  ,,감성주점,,
